state,fips,icpsr,debtfree,effectivemwpa,earnings,wills,soletrader
AL,1,41,1846,,1887,,
AR,5,42,1835,1873,1873,1868,1868
AZ,4,61,1864,1871,1973,,1871
CA,6,71,1850,1872,1872,1874,1872
CO,8,62,1861,1861,1861,1874,1874
CT,9,1,1845,1877,1877,1809,1877
DE,10,11,1865,1873,1873,,
FL,12,43,1845,1943,1892,1823,
GA,13,44,1868,1873,1861,1867,
IA,19,31,1846,1873,1873,,1873
ID,16,63,1887,1903,1915,1887,1887
IL,17,21,1861,1861,1869,1872,1874
IN,18,22,1847,1879,1879,1859,
KS,20,32,1858,1858,1858,1858,1868
KY,21,51,1846,1894,1873,,1873
LA,22,45,,1916,1928,,1894
MA,25,3,1855,1855,1846,1855,1860
MD,24,52,1842,1860,1842,,1860
ME,23,2,1844,1855,1857,,1844
MI,26,23,1844,1855,1911,1850,
MN,27,33,1866,1869,1869,1869,1874
MO,29,34,1849,1875,1875,,
MS,28,46,1839,1880,1871,1880,1871
MT,30,64,1864,1887,1887,,1874
NC,37,47,1849,1868,1913,,
ND,38,36,1862,1877,,1877,1877
NE,31,35,1855,1871,1871,1897,1881
NH,33,4,1846,1860,1867,1854,1876
NJ,34,12,1852,1852,1874,1864,1874
NM,35,66,1884,1884,,,
NV,32,65,1873,1873,1873,1873,1873
NY,36,13,1848,1848,1860,1849,1860
OH,39,24,1846,1861,1861,1808,
OK,40,53,1890,1890,,,
OR,41,72,1857,1878,1872,1853,1880
PA,42,14,1848,1848,1872,1848,
RI,44,5,1844,1872,1872,1856,
SC,45,48,1868,1868,1887,1870,1870
SD,46,37,1862,1877,,1887,1877
TN,47,54,1850,1919,1919,1852,
TX,48,49,1845,1913,1913,1895,
UT,49,67,1872,1872,1897,1895,1895
VA,51,40,1877,1877,1888,,
VT,50,6,1845,1881,1888,,1881
WA,53,73,1860,1881,1881,1889,1889
WI,55,25,1850,1850,1872,,
WV,54,56,1868,1868,1893,1882,1893
WY,56,68,1869,1869,1869,1869,1869
