Date,Empl_Rate
1971 FEB,72.2
1971 MAR,72.1
1971 APR,72
1971 MAY,72
1971 JUN,71.9
1971 JUL,71.8
1971 AUG,71.7
1971 SEP,71.6
1971 OCT,71.5
1971 NOV,71.5
1971 DEC,71.5
1972 JAN,71.6
1972 FEB,71.8
1972 MAR,71.9
1972 APR,71.9
1972 MAY,71.9
1972 JUN,71.9
1972 JUL,71.9
1972 AUG,72
1972 SEP,72
1972 OCT,72.1
1972 NOV,72.2
1972 DEC,72.4
1973 JAN,72.6
1973 FEB,72.8
1973 MAR,72.9
1973 APR,73
1973 MAY,73
1973 JUN,72.9
1973 JUL,72.9
1973 AUG,72.9
1973 SEP,72.9
1973 OCT,73
1973 NOV,73
1973 DEC,73
1974 JAN,73
1974 FEB,72.9
1974 MAR,72.9
1974 APR,72.9
1974 MAY,73
1974 JUN,73
1974 JUL,73.1
1974 AUG,73.1
1974 SEP,73.1
1974 OCT,73.1
1974 NOV,73.1
1974 DEC,73
1975 JAN,72.9
1975 FEB,72.9
1975 MAR,72.8
1975 APR,72.7
1975 MAY,72.7
1975 JUN,72.7
1975 JUL,72.6
1975 AUG,72.6
1975 SEP,72.5
1975 OCT,72.4
1975 NOV,72.3
1975 DEC,72.3
1976 JAN,72.2
1976 FEB,72.1
1976 MAR,72
1976 APR,72
1976 MAY,72
1976 JUN,71.9
1976 JUL,71.9
1976 AUG,71.9
1976 SEP,71.8
1976 OCT,71.8
1976 NOV,71.8
1976 DEC,71.8
1977 JAN,71.8
1977 FEB,71.8
1977 MAR,71.7
1977 APR,71.7
1977 MAY,71.6
1977 JUN,71.6
1977 JUL,71.6
1977 AUG,71.6
1977 SEP,71.6
1977 OCT,71.5
1977 NOV,71.5
1977 DEC,71.5
1978 JAN,71.5
1978 FEB,71.5
1978 MAR,71.5
1978 APR,71.5
1978 MAY,71.5
1978 JUN,71.5
1978 JUL,71.5
1978 AUG,71.5
1978 SEP,71.6
1978 OCT,71.6
1978 NOV,71.7
1978 DEC,71.8
1979 JAN,71.8
1979 FEB,71.8
1979 MAR,71.7
1979 APR,71.7
1979 MAY,71.7
1979 JUN,71.8
1979 JUL,71.8
1979 AUG,71.8
1979 SEP,71.8
1979 OCT,71.8
1979 NOV,71.7
1979 DEC,71.7
1980 JAN,71.6
1980 FEB,71.5
1980 MAR,71.4
1980 APR,71.3
1980 MAY,71.2
1980 JUN,71.1
1980 JUL,70.9
1980 AUG,70.7
1980 SEP,70.4
1980 OCT,70.2
1980 NOV,69.9
1980 DEC,69.7
