date,review_count
2018-01-21,26
2018-01-22,53
2018-01-23,45
2018-01-24,38
2018-01-25,5
2018-01-26,154
2018-01-27,123
2018-01-28,50
2018-01-29,43
2018-01-30,12
2018-01-31,47
2018-02-01,9
2018-02-02,77
2018-02-03,32
2018-02-05,50
2018-02-06,21
2018-02-07,125
2018-02-08,25
2018-02-09,24
2018-02-10,40
2018-02-11,42
2018-02-12,40
2018-02-13,37
2018-02-14,97
2018-02-15,55
2018-02-16,48
2018-02-19,14
2018-02-20,124
2018-02-22,96
2018-02-23,79
2018-02-24,63
2018-02-25,50
2018-02-26,9
2018-02-27,130
2018-02-28,26
2018-03-01,28
2018-03-02,95
2018-03-03,76
2018-03-04,32
2018-03-05,34
2018-03-06,178
2018-03-07,103
2018-03-08,33
2018-03-09,53
2018-03-10,33
2018-03-11,164
2018-03-12,53
2018-03-13,30
2018-03-14,134
2018-03-15,83
2018-03-16,68
2018-03-17,48
2018-03-18,141
2018-03-19,57
2018-03-20,97
2018-03-21,128
2018-03-22,202
2018-03-23,71
2018-03-24,126
2018-03-25,53
2018-03-26,44
2018-03-27,50
2018-03-28,135
2018-03-29,115
2018-03-30,50
2018-03-31,132
2018-04-01,68
2018-04-02,53
2018-04-03,2
2018-04-04,89
2018-04-05,98
2018-04-06,128
2018-04-07,175
2018-04-08,82
2018-04-09,78
2018-04-10,14
2018-04-11,68
2018-04-12,117
2018-04-13,40
2018-04-14,47
2018-04-15,99
