chapter,i the,family,of
dashwood,had,long,been,settled,insussex
their,estate,was,large,and,their,residence,was,at,norland,park,in
the,centre,of,their,property,where,for,many,generations,they,had,lived
in,so,respectable,a,manner,as,to,engage,the,general,good,opinion
of,their,surroundingacquaintance
the,late,owner,of,this,estate,was,a,single,man,who,lived
to,a,very,advanced,age,and,who,for,many,years,of,his
life,had,a,constant,companion,and,housekeeper,in,hissister
but,her,death,which,happened,ten,years,before,his,own,produced,a
great,alteration,in,his,home,for,to,supply,her,loss,he,invited
and,received,into,his,house,the,family,of,his,nephew,mr,henry
dashwood,the,legal,inheritor,of,the,norland,estate,and,the,person,to
whom,he,intended,to,bequeathit
in,the,society,of,his,nephew,and,niece,and,their,children,the
old,gentleman,s,days,were,comfortablyspent
his,attachment,to,them,allincreased
the,constant,attention,of,mr,and,mrs,henry,dashwood,to,his,wishes
which,proceeded,not,merely,from,interest,but,from,goodness,of,heart,gave
him,every,degree,of,solid,comfort,which,his,age,could,receive,and
the,cheerfulness,of,the,children,added,a,relish,to,hisexistence
by,a,former,marriage,mr,henry,dashwood,had,one,son,by,his
present,lady,threedaughters
the,son,a,steady,respectable,young,man,was,amply,provided,for,by
the,fortune,of,his,mother,which,had,been,large,and,half,of
which,devolved,on,him,on,his,coming,ofage
by,his,own,marriage,likewise,which,happened,soon,afterwards,he,added,to
hiswealth
to,him,therefore,the,succession,to,the,norland,estate,was,not,so
really,important,as,to,his,sisters,for,their,fortune,independent,of,what
might,arise,to,them,from,their,father,s,inheriting,that,property,could
be,butsmall
their,mother,had,nothing,and,their,father,only,seven,thousand,pounds,in
his,own,disposal,for,the,remaining,moiety,of,his,first,wife,s
fortune,was,also,secured,to,her,child,and,he,had,only,a
life,interest,init
the,old,gentleman,died,his,will,was,read,and,like,almost,every
other,will,gave,as,much,disappointment,aspleasure
he,was,neither,so,unjust,nor,so,ungrateful,as,to,leave,his
estate,from,his,nephew,but,he,left,it,to,him,on,such
terms,as,destroyed,half,the,value,of,thebequest
mr,dashwood,had,wished,for,it,more,for,the,sake,of,his
wife,and,daughters,than,for,himself,or,his,son,but,to,his
son,and,his,son,s,son,a,child,of,four,years,old
it,was,secured,in,such,a,way,as,to,leave,to,himself
no,power,of,providing,for,those,who,were,most,dear,to,him
and,who,most,needed,a,provision,by,any,charge,on,the,estate
or,by,any,sale,of,its,valuablewoods
the,whole,was,tied,up,for,the,benefit,of,this,child,who
in,occasional,visits,with,his,father,and,mother,at,norland,had,so
far,gained,on,the,affections,of,his,uncle,by,such,attractions,as
are,by,no,means,unusual,in,children,of,two,or,three,years
old,an,imperfect,articulation,an,earnest,desire,of,having,his,own,way
many,cunning,tricks,and,a,great,deal,of,noise,as,to,outweigh
all,the,value,of,all,the,attention,which,for,years,he,had
received,from,his,niece,and,herdaughters
he,meant,not,to,be,unkind,however,and,as,a,mark,of
his,affection,for,the,three,girls,he,left,them,a,thousand,pounds
apiece
mr,dashwood,s,disappointment,was,at,first,severe,but,his,temper,was
cheerful,and,sanguine,and,he,might,reasonably,hope,to,live,many,years
and,by,living,economically,lay,by,a,considerable,sum,from,the,produce
of,an,estate,already,large,and,capable,of,almost,immediateimprovement
but,the,fortune,which,had,been,so,tardy,in,coming,was,his
only,onetwelvemonth
he,survived,his,uncle,no,longer,and,ten,thousand,pounds,including,the
late,legacies,was,all,that,remained,for,his,widow,anddaughters
his,son,was,sent,for,as,soon,as,his,danger,was,known
and,to,him,mr,dashwood,recommended,with,all,the,strength,and,urgency
which,illness,could,command,the,interest,of,his,mother,in,law,and
sisters
mr,john,dashwood,had,not,the,strong,feelings,of,the,rest,of
the,family,but,he,was,affected,by,a,recommendation,of,such,a
nature,at,such,a,time,and,he,promised,to,do,every,thing
in,his,power,to,make,themcomfortable
his,father,was,rendered,easy,by,such,an,assurance,and,mr,john
dashwood,had,then,leisure,to,consider,how,much,there,might,prudently,be
in,his,power,to,do,forthem
illustration,_his,son,s,son,a,child,of,four,years,old,_
he,was,not,an,ill,disposed,young,man,unless,to,be,rather
cold,hearted,and,rather,selfish,is,to,be,ill,disposed,but,he
was,in,general,well,respected,for,he,conducted,himself,with,propriety,in
the,discharge,of,his,ordinaryduties
had,he,married,a,more,amiable,woman,he,might,have,been,made
still,more,respectable,than,he,was,he,might,even,have,been,made
amiable,himself,for,he,was,very,young,when,he,married,and,very
fond,of,hiswife
but,mrs,john,dashwood,was,a,strong,caricature,of,himself,more,narrow
minded,andselfish
when,he,gave,his,promise,to,his,father,he,meditated,within,himself
to,increase,the,fortunes,of,his,sisters,by,the,present,of,a
thousand,pounds,apiece
he,then,really,thought,himself,equal,toit
the,prospect,of,four,thousand,a,year,in,addition,to,his,present
income,besides,the,remaining,half,of,his,own,mother,s,fortune,warmed
his,heart,and,made,him,feel,capable,ofgenerosity
yes,he,would,give,them,three,thousand,pounds,it,would,be,liberal
andhandsome
it,would,be,enough,to,make,them,completelyeasy
three,thousandpounds
he,could,spare,so,considerable,a,sum,with,littleinconvenience
he,thought,of,it,all,day,long,and,for,many,days,successively
and,he,did,notrepent
no,sooner,was,his,father,s,funeral,over,than,mrs,john,dashwood
without,sending,any,notice,of,her,intention,to,her,mother,in,law
arrived,with,her,child,and,theirattendants
no,one,could,dispute,her,right,to,come,the,house,was,her
husband,s,from,the,moment,of,his,father,s,decease,but,the
indelicacy,of,her,conduct,was,so,much,the,greater,and,to,a
woman,in,mrs,dashwood,s,situation,with,only,common,feelings,must,have
been,highlyunpleasing
but,in,_her_,mind,there,was,a,sense,of,honor,so,keen
a,generosity,so,romantic,that,any,offence,of,the,kind,by,whomsoever
given,or,received,was,to,her,a,source,of,immovabledisgust
mrs,john,dashwood,had,never,been,a,favourite,with,any,of,her
husband,s,family,but,she,had,had,no,opportunity,till,the,present
of,showing,them,with,how,little,attention,to,the,comfort,of,other
people,she,could,act,when,occasion,requiredit
so,acutely,did,mrs,dashwood,feel,this,ungracious,behaviour,and,so,earnestly
did,she,despise,her,daughter,in,law,for,it,that,on,the
arrival,of,the,latter,she,would,have,quitted,the,house,for,ever
had,not,the,entreaty,of,her,eldest,girl,induced,her,first,to
reflect,on,the,propriety,of,going,and,her,own,tender,love,for
all,her,three,children,determined,her,afterwards,to,stay,and,for,their
sakes,avoid,a,breach,with,theirbrother
elinor,this,eldest,daughter,whose,advice,was,so,effectual,possessed,a,strength
of,understanding,and,coolness,of,judgment,which,qualified,her,though,only,nineteen
to,be,the,counsellor,of,her,mother,and,enabled,her,frequently,to
counteract,to,the,advantage,of,them,all,that,eagerness,of,mind,in
mrs,dashwood,which,must,generally,have,led,toimprudence
she,had,an,excellent,heart,her,disposition,was,affectionate,and,her,feelings
were,strong,but,she,knew,how,to,govern,them,it,was,a
knowledge,which,her,mother,had,yet,to,learn,and,which,one,of
her,sisters,had,resolved,never,to,betaught
marianne,s,abilities,were,in,many,respects,quite,equal,to,elinors
she,was,sensible,and,clever,but,eager,in,everything,her,sorrows,her
joys,could,have,nomoderation
she,was,generous,amiable,interesting,she,was,everything,butprudent
the,resemblance,between,her,and,her,mother,was,strikinglygreat
elinor,saw,with,concern,the,excess,of,her,sister,s,sensibility,but
by,mrs,dashwood,it,was,valued,andcherished
they,encouraged,each,other,now,in,the,violence,of,theiraffliction
the,agony,of,grief,which,overpowered,them,at,first,was,voluntarily,renewed
was,sought,for,was,created,again,andagain
they,gave,themselves,up,wholly,to,their,sorrow,seeking,increase,of,wretchedness
in,every,reflection,that,could,afford,it,and,resolved,against,ever,admitting
consolation,infuture
elinor,too,was,deeply,afflicted,but,still,she,could,struggle,she,could
exertherself
she,could,consult,with,her,brother,could,receive,her,sister,in,law
on,her,arrival,and,treat,her,with,proper,attention,and,could,strive
to,rouse,her,mother,to,similar,exertion,and,encourage,her,to,similar
forbearance
margaret,the,other,sister,was,a,good,humored,well,disposed,girl,but
as,she,had,already,imbibed,a,good,deal,of,marianne,s,romance
