job,marital,education,contact,month,poutcome,y,balanceSummary,ageBand,defaultValue,housingVal,loanVal
unemployed,married,primary,cellular,oct,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
services,married,secondary,cellular,may,failure,no,positive,ageBand3,defaultNo,houseYes,loanYes
management,single,tertiary,cellular,apr,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,tertiary,unknown,jun,unknown,no,positive,ageBand3,defaultNo,houseYes,loanYes
blue-collar,married,secondary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,feb,failure,no,positive,ageBand3,defaultNo,houseNo,loanNo
self-employed,married,tertiary,cellular,may,other,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,secondary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
entrepreneur,married,tertiary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
services,married,primary,cellular,apr,failure,no,negative,ageBand4,defaultNo,houseYes,loanYes
services,married,secondary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
admin.,married,secondary,cellular,apr,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
technician,married,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
student,single,secondary,cellular,apr,unknown,yes,positive,ageBand1,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,jan,failure,no,positive,ageBand3,defaultNo,houseYes,loanYes
management,married,tertiary,cellular,aug,unknown,no,positive,ageBand4,defaultNo,houseNo,loanYes
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
admin.,single,tertiary,cellular,apr,failure,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,single,primary,unknown,may,unknown,no,negative,ageBand2,defaultNo,houseYes,loanNo
services,married,secondary,cellular,jul,other,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,divorced,unknown,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,divorced,tertiary,cellular,nov,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
services,single,secondary,unknown,jun,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
entrepreneur,married,secondary,cellular,jul,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
housemaid,married,tertiary,cellular,jan,unknown,no,positive,ageBand2,defaultNo,houseNo,loanNo
management,married,tertiary,cellular,nov,unknown,no,positive,ageBand4,defaultNo,houseNo,loanNo
blue-collar,married,primary,unknown,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
retired,married,unknown,telephone,aug,failure,no,positive,ageBand5,defaultNo,houseNo,loanNo
self-employed,married,secondary,cellular,jul,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
admin.,married,secondary,cellular,aug,unknown,no,positive,ageBand5,defaultNo,houseNo,loanYes
retired,divorced,secondary,telephone,jul,unknown,yes,positive,ageBand5,defaultNo,houseNo,loanNo
technician,married,secondary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
management,married,secondary,cellular,nov,unknown,no,positive,ageBand5,defaultNo,houseNo,loanNo
management,single,tertiary,cellular,aug,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanNo
technician,married,tertiary,cellular,aug,unknown,yes,positive,ageBand4,defaultNo,houseNo,loanNo
admin.,divorced,secondary,unknown,may,unknown,no,positive,ageBand4,defaultNo,houseYes,loanNo
retired,divorced,primary,telephone,oct,unknown,yes,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,nov,unknown,yes,positive,ageBand3,defaultNo,houseYes,loanNo
management,married,secondary,cellular,may,failure,yes,positive,ageBand3,defaultNo,houseYes,loanNo
services,single,tertiary,unknown,may,unknown,no,positive,ageBand1,defaultNo,houseYes,loanNo
management,single,tertiary,unknown,nov,failure,no,veryPositive,ageBand3,defaultNo,houseYes,loanNo
management,single,tertiary,cellular,aug,unknown,no,positive,ageBand3,defaultNo,houseNo,loanNo
blue-collar,married,secondary,cellular,may,unknown,no,positive,ageBand5,defaultNo,houseYes,loanNo
technician,married,tertiary,cellular,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
technician,single,tertiary,cellular,nov,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
management,single,tertiary,unknown,may,unknown,no,positive,ageBand3,defaultNo,houseYes,loanNo
blue-collar,married,primary,telephone,feb,other,no,positive,ageBand5,defaultNo,houseNo,loanNo
blue-collar,married,primary,unknown,may,unknown,no,positive,ageBand2,defaultNo,houseYes,loanNo
entrepreneur,single,primary,cellular,feb,unknown,no,veryNegative,ageBand3,defaultYes,houseYes,loanYes
admin.,married,unknown,cellular,jan,success,yes,positive,ageBand5,defaultNo,houseYes,loanNo
blue-collar,divorced,primary,unknown,jun,unknown,yes,positive,ageBand4,defaultNo,houseNo,loanNo
