x_1,x_2,x_3,x_4,x_5,x_6,Contains (D),Contains (B),Contains (D)
B,E,F,,,,0,1,0
A,B,D,F,J,,1,1,1
C,,,,,,0,0,0
B,,,,,,0,1,0
A,C,F,,,,0,0,0
A,I,J,,,,0,0,0
B,,,,,,0,1,0
C,,,,,,0,0,0
D,E,F,,,,1,0,0
A,I,J,,,,0,0,0
B,D,I,,,,1,1,1
A,J,,,,,0,0,0
A,B,C,,,,0,1,0
E,F,G,,,,0,0,0
C,F,,,,,0,0,0
B,C,F,,,,0,1,0
A,I,,,,,0,0,0
B,D,F,,,,1,1,1
B,C,E,F,,,0,1,0
A,B,I,,,,0,1,0
A,B,,,,,0,1,0
B,C,D,,,,1,1,1
B,I,,,,,0,1,0
A,B,C,D,E,H,1,1,1
A,F,,,,,0,0,0
A,,,,,,0,0,0
A,D,H,I,,,1,0,0
A,D,I,,,,1,0,0
C,G,H,,,,0,0,0
C,,,,,,0,0,0
C,G,H,,,,0,0,0
A,B,D,G,,,1,1,1
I,,,,,,0,0,0
A,D,G,,,,1,0,0
B,C,J,,,,0,1,0
B,F,I,,,,0,1,0
A,D,,,,,1,0,0
A,F,H,,,,0,0,0
A,C,,,,,0,0,0
C,F,,,,,0,0,0
D,H,,,,,1,0,0
B,C,E,F,,,0,1,0
E,F,,,,,0,0,0
B,C,D,,,,1,1,1
B,C,E,F,,,0,1,0
E,F,,,,,0,0,0
D,E,F,,,,1,0,0
C,G,H,,,,0,0,0
A,C,F,G,,,0,0,0
A,C,J,,,,0,0,0
D,H,,,,,1,0,0
B,,,,,,0,1,0
B,C,D,I,J,,1,1,1
B,C,H,,,,0,1,0
A,C,,,,,0,0,0
B,,,,,,0,1,0
A,B,D,,,,1,1,1
B,C,,,,,0,1,0
C,E,F,,,,0,0,0
C,,,,,,0,0,0
C,G,H,,,,0,0,0
A,I,,,,,0,0,0
A,B,C,,,,0,1,0
A,B,C,D,F,I,1,1,1
B,E,F,,,,0,1,0
B,C,E,F,J,,0,1,0
E,F,G,,,,0,0,0
B,D,H,J,,,1,1,1
A,G,I,,,,0,0,0
A,D,G,J,,,1,0,0
A,,,,,,0,0,0
B,C,,,,,0,1,0
A,C,D,E,J,,1,0,0
B,C,I,,,,0,1,0
A,B,C,,,,0,1,0
E,F,G,,,,0,0,0
A,C,D,F,G,,1,0,0
B,D,J,,,,1,1,1
B,H,,,,,0,1,0
A,B,,,,,0,1,0
A,B,D,,,,1,1,1
A,B,G,J,,,0,1,0
B,D,,,,,1,1,1
H,,,,,,0,0,0
A,I,,,,,0,0,0
A,B,C,,,,0,1,0
C,F,H,,,,0,0,0
B,C,J,,,,0,1,0
B,G,I,,,,0,1,0
A,D,,,,,1,0,0
B,D,,,,,1,1,1
D,,,,,,1,0,0
A,C,I,,,,0,0,0
A,C,,,,,0,0,0
E,F,,,,,0,0,0
C,,,,,,0,0,0
B,,,,,,0,1,0
D,H,I,,,,1,0,0
A,B,I,,,,0,1,0
B,C,H,I,,,0,1,0
A,C,G,,,,0,0,0
C,G,H,,,,0,0,0
C,G,H,,,,0,0,0
A,B,C,D,H,,1,1,1
D,E,F,H,,,1,0,0
B,C,,,,,0,1,0
A,D,H,,,,1,0,0
A,B,D,,,,1,1,1
A,F,I,,,,0,0,0
A,B,D,F,G,,1,1,1
A,C,G,,,,0,0,0
G,,,,,,0,0,0
C,G,H,,,,0,0,0
A,D,J,,,,1,0,0
A,B,,,,,0,1,0
A,D,,,,,1,0,0
A,H,,,,,0,0,0
B,D,,,,,1,1,1
C,D,,,,,1,0,0
A,H,,,,,0,0,0
D,,,,,,1,0,0
A,B,,,,,0,1,0
B,C,,,,,0,1,0
B,D,,,,,1,1,1
C,G,H,,,,0,0,0
A,C,J,,,,0,0,0
A,,,,,,0,0,0
A,,,,,,0,0,0
A,B,C,D,I,,1,1,1
B,,,,,,0,1,0
B,D,E,F,,,1,1,1
A,C,G,,,,0,0,0
B,,,,,,0,1,0
A,B,C,G,H,J,0,1,0
A,D,G,,,,1,0,0
A,B,C,D,,,1,1,1
A,B,D,H,,,1,1,1
C,G,H,,,,0,0,0
G,H,,,,,0,0,0
G,H,,,,,0,0,0
H,,,,,,0,0,0
B,C,,,,,0,1,0
C,G,J,,,,0,0,0
A,C,G,,,,0,0,0
A,C,D,,,,1,0,0
E,F,G,,,,0,0,0
C,D,,,,,1,0,0
A,H,,,,,0,0,0
B,C,E,G,I,,0,1,0
B,D,I,,,,1,1,1
A,C,D,,,,1,0,0
B,C,F,,,,0,1,0
B,H,,,,,0,1,0
A,B,D,,,,1,1,1
B,E,F,,,,0,1,0
A,B,G,,,,0,1,0
G,H,,,,,0,0,0
A,G,,,,,0,0,0
B,J,,,,,0,1,0
A,G,H,J,,,0,0,0
B,D,G,H,I,,1,1,1
G,,,,,,0,0,0
A,B,D,F,G,J,1,1,1
C,G,H,,,,0,0,0
C,G,H,,,,0,0,0
A,C,,,,,0,0,0
B,G,,,,,0,1,0
A,B,C,D,F,I,1,1,1
B,E,F,,,,0,1,0
A,D,F,,,,1,0,0
A,G,,,,,0,0,0
B,,,,,,0,1,0
B,J,,,,,0,1,0
B,C,D,,,,1,1,1
A,,,,,,0,0,0
B,,,,,,0,1,0
A,B,C,D,J,,1,1,1
C,G,H,,,,0,0,0
A,B,I,,,,0,1,0
I,J,,,,,0,0,0
E,F,I,,,,0,0,0
B,,,,,,0,1,0
C,,,,,,0,0,0
C,G,H,,,,0,0,0
B,J,,,,,0,1,0
B,C,G,I,,,0,1,0
B,C,,,,,0,1,0
B,G,,,,,0,1,0
B,,,,,,0,1,0
B,C,,,,,0,1,0
A,C,F,,,,0,0,0
C,G,H,,,,0,0,0
A,B,C,F,J,,0,1,0
B,F,,,,,0,1,0
A,D,,,,,1,0,0
A,B,D,G,H,J,1,1,1
B,C,,,,,0,1,0
