transactionid,num_items_purchase,total_price,date,store,category,price per item
0,1,2.35,2019.12.13,CherryCreek,household,2.35
1,10,59.24,2019.02.13,SouthGlenn,snack,5.924
1,7,10.02,2019.02.13,SouthGlenn,deli,1.431428571
1,10,32,2019.02.13,SouthGlenn,bakery,3.2
1,1,2.77,2019.02.13,SouthGlenn,meat,2.77
1,4,7.02,2019.02.13,SouthGlenn,household,1.755
2,7,28.67,2019.01.29,Tamarac,beer,4.095714286
2,2,9.49,2019.01.29,Tamarac,household,4.745
3,5,15.78,2019.06.18,GovernorsRanch,freezer,3.156
3,4,1.37,2019.06.18,GovernorsRanch,dairy,0.3425
4,12,14.86,2019.01.05,HighlandsRanch,bakery,1.238333333
4,10,17.31,2019.01.05,HighlandsRanch,beer,1.731
5,1,5.08,2019.05.28,UnionStation,household,5.08
5,1,17.53,2019.05.28,UnionStation,bakery,17.53
5,1,4.4,2019.05.28,UnionStation,softdrinks,4.4
5,1,6.21,2019.05.28,UnionStation,produce,6.21
5,1,32.44,2019.05.28,UnionStation,meat,32.44
5,1,15.45,2019.05.28,UnionStation,snack,15.45
6,2,53.53,2019.12.08,CherryCreek,beer,26.765
6,2,26.09,2019.12.08,CherryCreek,dairy,13.045
6,1,12.01,2019.12.08,CherryCreek,household,12.01
6,2,25.91,2019.12.08,CherryCreek,softdrinks,12.955
7,1,5.98,2019.01.13,WashingtonPark,household,5.98
7,2,28.48,2019.01.13,WashingtonPark,bakery,14.24
8,3,27.1,2019.01.10,GovernorsRanch,snack,9.033333333
8,4,15.45,2019.01.10,GovernorsRanch,produce,3.8625
8,5,0.45,2019.01.10,GovernorsRanch,dairy,0.09
9,4,10.76,2019.03.02,Tamarac,dairy,2.69
9,6,89.76,2019.03.02,Tamarac,beer,14.96
9,1,5.94,2019.03.02,Tamarac,household,5.94
10,4,83.07,2019.12.07,WashingtonPark,beer,20.7675
10,1,2.07,2019.12.07,WashingtonPark,household,2.07
10,1,0.42,2019.12.07,WashingtonPark,dairy,0.42
10,1,6.95,2019.12.07,WashingtonPark,meat,6.95
10,2,8.38,2019.12.07,WashingtonPark,softdrinks,4.19
10,4,25.08,2019.12.07,WashingtonPark,freezer,6.27
11,4,23.91,2019.12.04,SouthGlenn,meat,5.9775
11,9,35.04,2019.12.04,SouthGlenn,snack,3.893333333
11,6,6.44,2019.12.04,SouthGlenn,bakery,1.073333333
11,3,3.39,2019.12.04,SouthGlenn,beer,1.13
11,7,1.76,2019.12.04,SouthGlenn,dairy,0.251428571
11,1,0.25,2019.12.04,SouthGlenn,produce,0.25
12,2,28.16,2019.12.15,WashingtonPark,freezer,14.08
12,6,76.21,2019.12.15,WashingtonPark,softdrinks,12.70166667
13,14,127.57,2019.05.05,HighlandsRanch,freezer,9.112142857
14,4,39.54,2019.08.06,GovernorsRanch,softdrinks,9.885
14,15,114.48,2019.08.06,GovernorsRanch,beer,7.632
15,4,21.4,2019.05.15,SouthGlenn,softdrinks,5.35
15,7,10.3,2019.05.15,SouthGlenn,snack,1.471428571
16,1,5.12,2019.01.17,GovernorsRanch,household,5.12
16,6,18.7,2019.01.17,GovernorsRanch,produce,3.116666667
16,2,14.7,2019.01.17,GovernorsRanch,freezer,7.35
17,1,21.86,2019.06.15,UnionStation,freezer,21.86
17,2,57.01,2019.06.15,UnionStation,snack,28.505
17,1,22.23,2019.06.15,UnionStation,household,22.23
17,1,18.13,2019.06.15,UnionStation,deli,18.13
18,6,3.14,2019.12.23,GovernorsRanch,beer,0.523333333
18,3,4.05,2019.12.23,GovernorsRanch,softdrinks,1.35
18,1,4.6,2019.12.23,GovernorsRanch,bakery,4.6
18,6,0.9,2019.12.23,GovernorsRanch,deli,0.15
19,1,37.6,2019.10.21,CherryCreek,meat,37.6
19,3,50.68,2019.10.21,CherryCreek,dairy,16.89333333
20,12,41.14,2019.05.04,HighlandsRanch,softdrinks,3.428333333
20,10,1.86,2019.05.04,HighlandsRanch,snack,0.186
20,6,17.91,2019.05.04,HighlandsRanch,bakery,2.985
20,6,58.69,2019.05.04,HighlandsRanch,deli,9.781666667
21,1,8.15,2019.03.11,WashingtonPark,household,8.15
21,4,52.05,2019.03.11,WashingtonPark,freezer,13.0125
22,3,6.28,2019.03.22,Tamarac,dairy,2.093333333
22,6,25.7,2019.03.22,Tamarac,beer,4.283333333
22,2,1.2,2019.03.22,Tamarac,household,0.6
22,6,41.88,2019.03.22,Tamarac,bakery,6.98
23,1,0.7,2019.01.06,UnionStation,bakery,0.7
23,1,19.36,2019.01.06,UnionStation,beer,19.36
23,1,5.96,2019.01.06,UnionStation,deli,5.96
24,7,54.75,2019.07.01,GovernorsRanch,softdrinks,7.821428571
24,3,3.79,2019.07.01,GovernorsRanch,produce,1.263333333
25,2,0.89,2019.02.07,GovernorsRanch,bakery,0.445
25,6,34.13,2019.02.07,GovernorsRanch,snack,5.688333333
25,4,2.73,2019.02.07,GovernorsRanch,softdrinks,0.6825
25,4,48.71,2019.02.07,GovernorsRanch,beer,12.1775
26,4,33.14,2019.01.08,HighlandsRanch,meat,8.285
26,6,48.31,2019.01.08,HighlandsRanch,household,8.051666667
27,4,19.21,2019.05.26,GovernorsRanch,softdrinks,4.8025
28,3,0.93,2019.01.22,CastleRock,household,0.31
28,7,11.45,2019.01.22,CastleRock,snack,1.635714286
28,9,13.7,2019.01.22,CastleRock,bakery,1.522222222
28,7,7.65,2019.01.22,CastleRock,dairy,1.092857143
29,2,15.72,2019.01.01,CherryCreek,freezer,7.86
29,3,32.31,2019.01.01,CherryCreek,deli,10.77
29,2,8.01,2019.01.01,CherryCreek,softdrinks,4.005
29,1,13.03,2019.01.01,CherryCreek,bakery,13.03
29,1,31.98,2019.01.01,CherryCreek,meat,31.98
