STATION,NAME,DATE,PRCP (in)
USW00094728,"NY CITY CENTRAL PARK, NY US",1/1/1990,0.24
USW00094728,"NY CITY CENTRAL PARK, NY US",1/2/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/3/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/4/1990,0.01
USW00094728,"NY CITY CENTRAL PARK, NY US",1/5/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/6/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/7/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/8/1990,0.98
USW00094728,"NY CITY CENTRAL PARK, NY US",1/9/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/10/1990,0.03
USW00094728,"NY CITY CENTRAL PARK, NY US",1/11/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/12/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/13/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/14/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/15/1990,0.13
USW00094728,"NY CITY CENTRAL PARK, NY US",1/16/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/17/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/18/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/19/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/20/1990,0.55
USW00094728,"NY CITY CENTRAL PARK, NY US",1/21/1990,0.35
USW00094728,"NY CITY CENTRAL PARK, NY US",1/22/1990,0.06
USW00094728,"NY CITY CENTRAL PARK, NY US",1/23/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/24/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/25/1990,1.11
USW00094728,"NY CITY CENTRAL PARK, NY US",1/26/1990,0.31
USW00094728,"NY CITY CENTRAL PARK, NY US",1/27/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/28/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1/29/1990,1.03
USW00094728,"NY CITY CENTRAL PARK, NY US",1/30/1990,0.54
USW00094728,"NY CITY CENTRAL PARK, NY US",1/31/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/1/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/2/1990,0.09
USW00094728,"NY CITY CENTRAL PARK, NY US",2/3/1990,0.08
USW00094728,"NY CITY CENTRAL PARK, NY US",2/4/1990,0.33
USW00094728,"NY CITY CENTRAL PARK, NY US",2/5/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/6/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/7/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/8/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/9/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/10/1990,0.83
USW00094728,"NY CITY CENTRAL PARK, NY US",2/11/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/12/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/13/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/14/1990,0.01
USW00094728,"NY CITY CENTRAL PARK, NY US",2/15/1990,0.15
USW00094728,"NY CITY CENTRAL PARK, NY US",2/16/1990,0.04
USW00094728,"NY CITY CENTRAL PARK, NY US",2/17/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/18/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/19/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/20/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/21/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/22/1990,0.2
USW00094728,"NY CITY CENTRAL PARK, NY US",2/23/1990,0.22
USW00094728,"NY CITY CENTRAL PARK, NY US",2/24/1990,0.17
USW00094728,"NY CITY CENTRAL PARK, NY US",2/25/1990,0.21
USW00094728,"NY CITY CENTRAL PARK, NY US",2/26/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/27/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",2/28/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/1/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/2/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/3/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/4/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/5/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/6/1990,0.44
USW00094728,"NY CITY CENTRAL PARK, NY US",3/7/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/8/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/9/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/10/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/11/1990,0.05
USW00094728,"NY CITY CENTRAL PARK, NY US",3/12/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/13/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/14/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/15/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/16/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/17/1990,0.67
USW00094728,"NY CITY CENTRAL PARK, NY US",3/18/1990,0.48
USW00094728,"NY CITY CENTRAL PARK, NY US",3/19/1990,0.01
USW00094728,"NY CITY CENTRAL PARK, NY US",3/20/1990,1.05
USW00094728,"NY CITY CENTRAL PARK, NY US",3/21/1990,0.02
USW00094728,"NY CITY CENTRAL PARK, NY US",3/22/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/23/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/24/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/25/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/26/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/27/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/28/1990,0
USW00094728,"NY CITY CENTRAL PARK, NY US",3/29/1990,0.02
USW00094728,"NY CITY CENTRAL PARK, NY US",3/30/1990,0.86
USW00094728,"NY CITY CENTRAL PARK, NY US",3/31/1990,0.04
