RegionID,RegionName,City,State,Metro,CountyNAme,SizeRank, June 2000-2005 (Increase) , June 2005-2010 (Increase) , June 2010-2019 (Increase), 2000-06 , 2005-06 , 2010-06 , 2019-06 ,% Increase (2000-2005) ,Percent Increase (2005-2010) ,Percent Increase (2010-2019) 
75564,40210,Louisville,KY,Louisville/Jefferson County,Jefferson County,6990,NA ,NA ,NA ,,,,29900,NA,NA,NA
85752,62882,Sandoval,IL,Centralia,Marion County,14129,NA ,NA ,NA ,,,,30400,NA,NA,NA
85741,62870,Odin,IL,Centralia,Marion County,14478,NA ,NA ,NA ,,,,36700,NA,NA,NA
85939,63121,Northwoods,MO,St. Louis,Saint Louis County,3811,NA ,NA ,NA ,,,,36900,NA,NA,NA
85951,63133,Pagedale,MO,St. Louis,Saint Louis County,9845,NA ,NA ,NA ,,,,37800,NA,NA,NA
79078,48223,Detroit,MI,Detroit-Warren-Dearborn,Wayne County,4855,NA ,NA ,NA ,,,,38800,NA,NA,NA
70744,29851,Burnettown,SC,Augusta-Richmond County,Aiken County,9089,NA ,NA ,NA ,,,,43300,NA,NA,NA
90558,74854,Maud,OK,Shawnee,Pottawatomie County,14943,NA ,NA ,NA ,,,,43300,NA,NA,NA
87449,67070,Kiowa,KS,,Barber County,15602,NA ,NA ,NA ,,,,47000,NA,NA,NA
76579,43211,Columbus,OH,Columbus,Franklin County,5219,NA ,NA ,NA ,,,,47400,NA,NA,NA
92803,79064,Olton,TX,,Lamb County,14386,NA ,NA ,NA ,,,,47400,NA,NA,NA
85700,62827,Crossville,IL,,White County,15599,NA ,NA ,NA ,,,,47500,NA,NA,NA
92911,79339,Littlefield,TX,,Lamb County,10148,NA ,NA ,NA ,,,,47900,NA,NA,NA
65281,17965,Port Carbon,PA,Pottsville,Schuylkill County,14503,NA ,NA ,NA ,,,,48000,NA,NA,NA
85717,62844,Grayville,IL,,White County,14289,NA ,NA ,NA ,,,,49200,NA,NA,NA
84745,60966,Sheldon,IL,,Iroquois County,15405,NA ,NA ,NA ,,,,49600,NA,NA,NA
84734,60953,Milford,IL,,Iroquois County,13932,NA ,NA ,NA ,,,,50100,NA,NA,NA
85424,62326,Colchester,IL,Macomb,McDonough County,13796,NA ,NA ,NA ,,,,50600,NA,NA,NA
65250,17921,Ashland,PA,Pottsville,Schuylkill County,9998,NA ,NA ,NA ,,,,50800,NA,NA,NA
84961,61422,Bushnell,IL,Macomb,McDonough County,12602,NA ,NA ,NA ,,,,52800,NA,NA,NA
84523,60472,Robbins,IL,Chicago-NAperville-Elgin,Cook County,11811,NA ,NA ,NA ,,,,53200,NA,NA,NA
68627,25506,Branchland,WV,Huntington-Ashland,Lincoln County,11155,NA ,NA ,NA ,,,,53600,NA,NA,NA
73503,35549,Carbon Hill,AL,Birmingham-Hoover,Walker County,11743,NA ,NA ,NA ,,,,55300,NA,NA,NA
81284,53204,Milwaukee,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,3255,NA ,NA ,NA ,,,,55600,NA,NA,NA
73504,35550,Cordova,AL,Birmingham-Hoover,Walker County,10833,NA ,NA ,NA ,,,,56400,NA,NA,NA
78962,48089,Warren,MI,Detroit-Warren-Dearborn,Macomb County,3270,NA ,NA ,NA ,,,,59500,NA,NA,NA
73525,35580,Parrish,AL,Birmingham-Hoover,Walker County,11857,NA ,NA ,NA ,,,,60200,NA,NA,NA
91555,76704,Waco,TX,Waco,McLenNAn County,9574,NA ,NA ,NA ,,,,60200,NA,NA,NA
87277,66713,Baxter Springs,KS,,Cherokee County,10765,NA ,NA ,NA ,,,,60900,NA,NA,NA
64096,15442,Redstone,PA,Pittsburgh,Fayette County,14042,NA ,NA ,NA ,,,,61300,NA,NA,NA
68638,25523,Hamlin,WV,Huntington-Ashland,Lincoln County,13514,NA ,NA ,NA ,,,,62100,NA,NA,NA
78719,47666,Patoka,IN,,Gibson County,15381,NA ,NA ,NA ,,,,62100,NA,NA,NA
93060,79745,Kermit,TX,,Winkler County,10014,NA ,NA ,NA ,,,,62400,NA,NA,NA
86301,64053,Independence,MO,Kansas City,Jackson County,10775,NA ,NA ,NA ,,,,62700,NA,NA,NA
