Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC,Date_of_Data,Date_Report_Created,Value_inches,Percent_NRCS_1981_2010_Average,Percent_NRCS_1981_2010_Median,Percent_of_POR_Average,Percent_of_POR_Median,Percent_of_Water_Year_Peak,Percent_of_Average_Water_Year_Peak_POR,Percent_of_Median_Water_Year_Peak_POR,POR_Median_Departure_inches,Percentile_POR,Maximum_Rank_POR,Minimum_Rank_POR,Records_POR,NRCS_1981_2010_Average_inches,NRCS_1981_2010_Median_inches,POR_Average_inches,POR_Median_inches,Minimum_POR_inches,Maximum_POR_inches,Year_of_Minimum_POR,Year_of_Maximum_POR,Number_of_Observations_POR
Adin Mtn,"301	",California,SNOTEL,Modoc,6190,41.23583,-120.79192,"180200021403	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.68,0,0,18,"2017, 2018, 2019, more",2004,22
Agua Canyon,"907	",Utah,SNOTEL,Kane,8900,37.52217,-112.27118,"160300020301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,144,,100,3,3,1,86,4,18,,,,0.7,0,0,8,"2017, 2018, 2019, more",2000,23
Aiken Lake,"4A30P	",British Columbia,Cooperator Snow Sensors,"	",3481,56.43333,-125.73333,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,4.25,4.5,2,6,2017,2019,4
Albro Lake,"916	",Montana,SNOTEL,Madison,8300,45.59723,-111.95902,"100200050701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",9,,,73,75,75,13,13,-3,42,15,10,,,,12.36,12,0,34,2016,2017,25
Alexander Lake,"1267	",Alaska,SNOTEL,Matanuska-Susitna,160,61.74967,-150.88967,"190205051106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1,0,0,3,"2014, 2016, 2018",2015,5
Alpine Meadows,"908	",Washington,SNOTEL,King,3500,47.77957,-121.69847,"171100100501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,71,6,1,Lowest,,,1.33,0,0,7,"2018, 2019, 2020, more","2005, 2013",18
Althouse,"1239	",California,SNOLITE,Del Norte,4970,41.99617,-123.547,"171003110302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.29,0,0,2,"2016, 2018, 2019, more",2017,7
American Beauty,"1198	",Nevada,SNOLITE,Elko,7545,40.53373,-115.45768,"160401030901	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,63,4,1,Lowest,,,1.33,0,0,7,"2018, 2019, 2020, more",2015,9
American Creek,"1189	",Alaska,SNOTEL,Southeast Fairbanks,1050,64.78969,-141.23376,"190705050504	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.88,3,0,8,2013,"2014, 2015",8
Anchor River Divide,"1062	",Alaska,SNOTEL,Kenai Peninsula,1653,59.85972,-151.315,"190203010701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,60,100,67,4,4,0,53,8,7,,,,3.31,2,0,11,"2016, 2017, 2018, more",2010,16
Anchorage Hillside,"1070	",Alaska,SNOTEL,Anchorage,2080,61.11483,-149.66683,"190204010601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",11,,,203,220,92,28,29,6,92,2,12,2nd Highest,,,5.43,5,0,13,"2013, 2016, 2017",2007,14
Anchorage Wscmo AP,"0280	",Alaska,ACIS,Anchorage,110,61.16666,-150.01666,"190204010808	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.12,1,0,16,"2016, 2017, 2018, more",1996,66
Aneroid Lake #2,"302	",Oregon,SNOTEL,Wallowa,7400,45.21328,-117.19258,"170601050101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,4.5,2.5,0,18,"2011, 2012, 2015, more",2013,20
Aniak,"2065	",Alaska,SCAN,Bethel,80,61.58337,-159.57708,"190305020504	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,200,,100,10,10,2,83,2,5,2nd Highest,,,1,0,0,3,"2014, 2015, 2016, more",2017,7
Annie Springs,"1000	",Oregon,SNOTEL,Klamath,6010,42.87007,-122.16518,"180102030101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.2,0,0,17,"2015, 2018, 2019, more",2004,20
Anthony Lake,"1245	",Oregon,SNOLITE,Baker,7160,44.9591,-118.22668,"170502030503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.43,1,0,6,"2016, 2017, 2018",2013,7
Apishapa,"303	",Colorado,SNOTEL,Huerfano,10000,37.33062,-105.06749,"110200060406	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,98,400,11,7,6,1.5,74,6,14,,,,2.05,0.5,0,9,"2015, 2016, 2017, more",2018,20
Arapaho Ridge,"1030	",Colorado,SNOTEL,Grand,10960,40.35098,-106.38142,"140100010604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,51,50,67,8,8,-6,22,15,4,,,,11.84,12,1,26,2016,2004,19
Arbuckle Mtn,"304	",Oregon,SNOTEL,Morrow,5770,45.19085,-119.25392,"170702020604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.12,0,0,6,"2016, 2018, 2019, more",2004,17
Ash Valley,"2214	",California,SCAN,Lassen,5097,41.05204,-120.6872,"180200021404	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2014, 2015, 2016","2014, 2015, 2016",3
Ashley Divide,"1165	",Montana,SNOLITE,Flathead,4820,48.20161,-114.51495,"170102080108	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,0,4,1,Lowest,,,3.75,1,0,13,2020,2017,4
Atigun Pass,"957	",Alaska,SNOTEL,North Slope,4800,68.12983,-149.47817,"190802010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",22,,,97,98,96,45,42,-0.5,45,7,5,,,,22.67,22.5,15,33,"2010, 2014, 2018, more",2017,12
Atlanta Summit,"306	",Idaho,SNOTEL,Elmore,7580,43.7569,-115.23907,"170501110204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,21,25,100,1,1,-3,21,20,4,,,,4.76,4,0,14,"1998, 2007, 2016",2017,25
Azure,"1E08P	",British Columbia,Cooperator Snow Sensors,"	",5331,52.58333,-119.71667,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,21.56,22.5,2,43,2008,1997,18
Badger Pass,"307	",Montana,SNOTEL,Pondera,6900,48.13088,-113.02317,"100302010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",21,,,233,300,62,23,23,14,95,2,20,2nd Highest,,,9,7,0,22,"1999, 2007, 2008",2019,21
Baker Butte,"308	",Arizona,SNOTEL,Gila,7300,34.4566,-111.40643,"150602030206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,88,3,1,Lowest,,,0.12,0,0,1,"2018, 2019, 2020, more","2003, 2015",17
Baker Butte Smt,"1140	",Arizona,SNOTEL,Coconino,7700,34.45547,-111.38272,"150602030103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,82,3,1,Lowest,,,0.25,0,0,2,"2018, 2019, 2020, more",2015,12
Bald Mtn AM,"1240	",Nevada,SNOLITE,Washoe,6720,41.78333,-119.61667,"160402040101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019","2017, 2018, 2019",3
Bald Mtn AM OR,"447	",Oregon,SNOLITE,Union,6700,45.21158,-117.6626,"170601040504	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.5,0.5,0,1,2018,2019,2
Bald Mtn.,"309	",Wyoming,SNOTEL,Big Horn,9380,44.8007,-107.84442,"100800100501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",17,,,115,106,74,23,24,1,65,7,10,,,,14.78,16,2,26,2015,2019,18
Baldy,"310	",Arizona,SNOTEL,Apache,9125,33.97883,-109.50344,"150200010203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.28,0,0,1,"2017, 2018, 2019, more","2007, 2008, 2013, more",18
Banfield Mountain,"311	",Montana,SNOTEL,Lincoln,5600,48.5712,-115.44573,"170101011202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,90,150,38,5,5,1,68,7,12,,,,3.35,2,0,15,"2012, 2016, 2018, more",2004,20
Banner Summit,"312	",Idaho,SNOTEL,Boise,7040,44.30342,-115.23447,"170501200202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,15,18,1,Lowest,,,3.57,2,0,15,"2016, 2018, 2020, more",2005,21
Bar M,"1212	",Arizona,SNOTEL,Coconino,6393,34.86136,-111.60503,"150602020601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.13,0,0,1,"2017, 2018, 2019, more",2015,8
Barker Lakes,"313	",Montana,SNOTEL,Deer Lodge,8250,46.09713,-113.13038,"170102010304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",10,,,92,100,71,16,16,0,56,9,10,,,,10.89,10,0,27,2016,2017,19
Barkerville,"1A03P	",British Columbia,Cooperator Snow Sensors,"	",4865,53.05,-121.48333,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,6.31,5,0,20,2010,2008,13
Barney Creek,"1246	",Oregon,SNOLITE,Baker,5830,44.36069,-118.31114,"170502020202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,86,2,1,Lowest,,,0.38,0,0,3,"2018, 2019, 2020, more",2017,8
Barrow WSO Airport,"0546	",Alaska,ACIS,North Slope,30,71.3,-156.78333,"190602020203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,5.88,6,1,15,"1928, 2016, 2017, more",1926,88
Base Camp,"314	",Wyoming,SNOTEL,Teton,7060,43.94019,-110.44544,"170401010304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",6,,,150,171,43,9,9,2.5,57,4,5,,,,4,3.5,0,9,"2015, 2016",2017,8
Basin Creek,"315	",Montana,SNOTEL,Silver Bow,7180,45.79737,-112.52047,"170102010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,43,80,67,5,5,-0.5,47,10,8,,,,4.61,2.5,0,17,"2014, 2016, 2018, more",2017,18
Bassoo Peak,"1190	",Montana,SNOLITE,Sanders,5150,47.85562,-114.75841,"170102120105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,0,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020","2018, 2019, 2020",3
Bateman,"316	",New Mexico,SNOTEL,Rio Arriba,9300,36.51216,-106.32129,"130201020901	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,417,,29,10,13,5,100,1,20,Highest,,,1.2,0,0,5,"2015, 2016, 2017, more",2020,20
Battle Creek AM,"1295	",Idaho,SNOLITE,Owyhee,5720,42.47694,-116.32576,"170501040905	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2018, 2019","2018, 2019",2
Battle Mountain,"317	",Wyoming,SNOTEL,Carbon,7440,41.05413,-107.26609,"140500030109	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.76,2,0,11,"2015, 2016, 2017, more",2003,17
Beagle Springs,"318	",Montana,SNOTEL,Beaverhead,8850,44.47147,-112.98191,"100200010501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-3.5,12,16,1,Lowest,,,5.83,3.5,0,15,"2011, 2016, 2020","2009, 2015",18
Bear Basin,"319	",Idaho,SNOTEL,Adams,5350,44.95222,-116.14293,"170602100104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,60,9,1,Lowest,,,1.48,0,0,10,"2016, 2019, 2020, more",2005,21
Bear Canyon,"320	",Idaho,SNOTEL,Custer,7900,43.74367,-113.93797,"170402180101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,30,8,1,Lowest,,,2.64,2,0,8,"2012, 2016, 2020, more",2017,11
Bear Creek,"321	",Nevada,SNOTEL,Elko,8040,41.83384,-115.45278,"170501020301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,33,9,1,Lowest,,,3.31,1,0,25,"2018, 2019, 2020, more",2015,13
Bear Flat Meadow AM,"1291	",Oregon,SNOLITE,Lake,6580,42.41655,-120.47043,"171200060105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020","2018, 2019, 2020",3
Bear Grass,"1166	",Oregon,SNOTEL,Linn,4720,44.3253,-122.0938,"170900040203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,78,3,1,Lowest,,,1.2,0,0,8,"2018, 2019, 2020, more",2013,10
Bear Lake,"322	",Colorado,SNOTEL,Larimer,9500,40.31118,-105.64483,"101900060201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,6,2,0,17,"2008, 2016, 2017, more",2006,15
Bear Mountain,"323	",Idaho,SNOTEL,Bonner,5400,48.30577,-116.07448,"170102131202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,28,29,18,1,1,-5,21,16,4,,,,7.25,7,0,19,"2000, 2014",2017,20
Bear River,"1061	",Colorado,SNOTEL,Routt,9080,40.06153,-107.00955,"140500010102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,108,133,40,7,8,1,73,5,11,,,,3.69,3,0,11,"2005, 2014, 2016",2013,16
Bear River RS,"992	",Utah,SNOTEL,Summit,8777,40.8852,-110.8277,"160101010106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,50,6,1,Lowest,,,1.09,0,0,5,"2017, 2018, 2020, more",2010,11
Bear Saddle,"324	",Idaho,SNOTEL,Washington,6180,44.60533,-116.98097,"170501241001	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,75,3,1,Lowest,,,1.11,0,0,5,"2018, 2019, 2020, more","2014, 2017",9
Bear Trap Meadow,"325	",Wyoming,SNOTEL,Johnson,8200,43.88743,-107.06135,"100902010205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,92,100,80,11,11,0,59,8,8,,,,4.33,4,0,12,"2014, 2015, 2016, more",2013,18
Beartooth Lake,"326	",Wyoming,SNOTEL,Park,9360,44.94307,-109.56743,"100700060206	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",26,,,160,173,60,31,31,11,94,2,17,2nd Highest,,,16.22,15,6,42,2008,2017,18
Beartown,"327	",Colorado,SNOTEL,Mineral,11600,37.71409,-107.51212,"130100010104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,8,5,0,26,"2010, 2012, 2015, more",2000,20
Beaver Ck Village,"1041	",Colorado,SNOTEL,Eagle,8500,39.59917,-106.51142,"140100030301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,92,133,33,3,4,0.5,59,8,10,,,,2.17,1.5,0,8,"2015, 2016, 2017, more",2019,18
Beaver Creek,"328	",Montana,SNOTEL,Gallatin,7850,44.94966,-111.35852,"100200070402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,15,14,33,2,2,-6,17,16,2,2nd Lowest,,,6.89,7,0,16,2016,2015,19
Beaver Dams,"329	",Utah,SNOTEL,Sanpete,7990,39.13683,-111.55813,"160300040402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,567,,33,2,3,1,94,2,16,2nd Highest,,,0.18,0,0,2,"2017, 2018, 2019, more",2013,17
Beaver Divide,"330	",Utah,SNOTEL,Summit,8280,40.61233,-111.09782,"160202030105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,53,10,1,Lowest,,,1.85,0,0,8,"2017, 2018, 2020, more",2003,20
Beaver Head,"902	",Arizona,SNOTEL,Greenlee,7990,33.69144,-109.21657,"150601010107	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.11,0,0,1,"2017, 2018, 2019, more","2006, 2007",19
Beaver Pass,"990	",Washington,SNOTEL,Whatcom,3630,48.8793,-121.2555,"171100050605	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.74,0,0,19,"2016, 2018, 2019, more",2005,19
Beaver Reservoir,"331	",Oregon,SNOTEL,Union,5150,45.14532,-118.219,"170601040301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.5,0,0,3,"2017, 2018, 2019, more",2004,16
Beaver Spring,"1143	",Arizona,SNOTEL,Apache,9200,36.32678,-109.05711,"140802040401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.27,0,0,2,"2017, 2018, 2019, more",2015,11
Ben Lomond Peak,"332	",Utah,SNOTEL,Weber,7689,41.37603,-111.94405,"160201020302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,28,100,100,1,1,0,57,11,10,,,,3.54,1,0,35,"2015, 2016, 2018, more",2004,24
Ben Lomond Trail,"333	",Utah,SNOTEL,Weber,5972,41.38291,-111.92103,"160201020302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,71,,100,2,2,1,79,5,15,,,,1.4,0,0,16,"2016, 2017, 2018, more",2003,20
Berry Creek,"334	",Nevada,SNOTEL,White Pine,9377,39.31917,-114.62278,"160600081301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.95,0,0,22,"2017, 2018, 2019, more",2004,22
Berthoud Summit,"335	",Colorado,SNOTEL,Grand,11300,39.80392,-105.77789,"140100010202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,41,46,30,4,4,-3.5,29,13,5,,,,7.33,6.5,0,15,"2012, 2016",2006,18
Bettles FAA Airport,"0761	",Alaska,ACIS,Yukon-Koyukuk,640,66.91666,-151.51666,"190901012604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,8.03,7,1,18,"1984, 2009, 2012","1964, 1971",69
Bettles Field,"1182	",Alaska,SNOTEL,Yukon-Koyukuk,640,66.91667,-151.53333,"190901012604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,45,50,67,6,6,-2,38,6,4,,,,4.44,4,0,12,"2012, 2014, 2016",2015,9
Bevans Cabin,"1214	",Utah,SNOTEL,Tooele,6520,40.46182,-112.25233,"160203040401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,63,4,1,Lowest,,,0.67,0,0,3,"2017, 2018, 2020, more",2019,9
Big Bend,"336	",Nevada,SNOTEL,Elko,6898,41.76168,-115.6931,"170501040104	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,323,,67,7,6,2,90,3,18,,,,0.62,0,0,4,"2017, 2018, 2019, more",2015,21
Big Creek Sum,"337	",Nevada,SNOTEL,Lander,8685,39.29148,-117.11506,"160401070303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,71,6,1,Lowest,,,2.61,0,0,18,"2018, 2019, 2020, more",2015,18
Big Creek Summit,"338	",Idaho,SNOTEL,Valley,6560,44.62621,-115.79561,"170602080402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-2,25,16,1,Lowest,,,5,2,0,28,"2016, 2018, 2020, more",2017,21
Big Flat,"339	",Utah,SNOTEL,Beaver,10349,38.30183,-112.35672,"160300070202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,12,14,100,1,1,-6,25,19,7,,,,8.08,7,0,31,"2016, 2017, 2019, more",2000,25
Big Goose,"931	",Wyoming,SNOTEL,Sheridan,7990,44.57924,-107.20068,"100901010103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,155,140,58,15,16,2,77,6,17,,,,4.52,5,0,14,"2014, 2015, 2016, more",2011,23
Big Meadow,"340	",Nevada,SNOTEL,Washoe,8235,39.455,-119.9422,"160501020505	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,57,7,1,Lowest,,,2.47,0,0,13,"2018, 2019, 2020, more",2008,15
