STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
2,198,1419980,0500000US02198,2198,Prince of Wales-Hyder,5,13630515350,14624992705
1,127,161589,0500000US01127,1127,Walker,6,2048686080,36754696
2,164,1419975,0500000US02164,2164,Lake and Peninsula,4,61893966490,25992281749
1,53,161552,0500000US01053,1053,Escambia,6,2448115119,20504948
1,67,161559,0500000US01067,1067,Henry,6,1454926621,16986823
1,111,161582,0500000US01111,1111,Randolph,6,1503615935,9285419
2,20,1416061,0500000US02020,2020,Anchorage,12,4419562836,615500204
2,188,1419979,0500000US02188,2188,Northwest Arctic,4,92329079390,12875662550
2,230,2339479,0500000US02230,2230,Skagway,12,1123881121,28784118
2,275,2516402,0500000US02275,2275,Wrangell,3,6619997013,2384375232
4,21,25447,0500000US04021,4021,Pinal,6,13897458216,22344375
4,3,25442,0500000US04003,4003,Cochise,6,15966170808,137020196
5,43,66851,0500000US05043,5043,Drew,6,2145434144,18914034
5,49,66854,0500000US05049,5049,Fulton,6,1601111507,5526928
5,55,66857,0500000US05055,5055,Greene,6,1496205817,4789586
5,65,66860,0500000US05065,5065,Izard,6,1503683622,8913817
5,71,66863,0500000US05071,5071,Johnson,6,1709103303,59195660
5,113,69175,0500000US05113,5113,Polk,6,2221382790,12372287
5,89,69898,0500000US05089,5089,Marion,6,1546109517,112285683
5,83,82850,0500000US05083,5083,Logan,6,1834027338,60685578
5,31,66847,0500000US05031,5031,Craighead,6,1831867052,14069451
5,141,69904,0500000US05141,5141,Van Buren,6,1838200430,37692769
5,123,83331,0500000US05123,5123,St. Francis,6,1644132566,20028723
5,21,63759,0500000US05021,5021,Clay,6,1656214473,5097734
5,23,66983,0500000US05023,5023,Cleburne,6,1434168144,98893719
5,37,66848,0500000US05037,5037,Cross,6,1596421809,15344835
5,51,66855,0500000US05051,5051,Garland,6,1755290360,147383937
8,14,1945881,0500000US08014,8014,Broomfield,6,85478796,1411395
8,115,198173,0500000US08115,8115,Sedgwick,6,1419419130,3530746
8,103,198167,0500000US08103,8103,Rio Blanco,6,8342275042,4868111
8,109,198170,0500000US08109,8109,Saguache,6,8206547694,4454510
8,47,198139,0500000US08047,8047,Gilpin,6,388228994,942056
8,89,198160,0500000US08089,8089,Otero,6,3268424425,20092432
8,99,198165,0500000US08099,8099,Prowers,6,4243428664,15345963
8,41,198135,0500000US08041,8041,El Paso,6,5508504028,7097457
8,119,198175,0500000US08119,8119,Teller,6,1442734237,4944578
9,3,212338,0500000US09003,9003,Hartford,6,1903543897,40543777
9,15,212801,0500000US09015,9015,Windham,6,1328478475,21477921
12,99,295761,0500000US12099,12099,Palm Beach,6,5090938139,1081432228
12,67,295732,0500000US12067,12067,Lafayette,6,1407329178,11745117
12,19,295726,0500000US12019,12019,Clay,6,1566375291,100402899
12,49,295746,0500000US12049,12049,Hardee,6,1651329788,1439673
12,61,307624,0500000US12061,12061,Indian River,6,1302203812,295578903
12,1,308548,0500000US12001,12001,Alachua,6,2266324954,242877007
12,27,294452,0500000US12027,12027,DeSoto,6,1649027555,6243548
13,11,349230,0500000US13011,13011,Banks,6,601022383,4593262
13,235,347593,0500000US13235,13235,Pulaski,6,645583955,5046606
13,249,344129,0500000US13249,13249,Schley,6,432287212,2373637
13,65,351285,0500000US13065,13065,Clinch,6,2110829174,23303279
13,161,1687999,0500000US13161,13161,Jeff Davis,6,857073381,11603478
13,95,351259,0500000US13095,13095,Dougherty,6,851183464,15352849
13,49,357747,0500000US13049,13049,Charlton,6,2020415648,5963237
13,177,343390,0500000US13177,13177,Lee,6,921731013,15310683
13,15,351604,0500000US13015,13015,Bartow,6,1190154672,27367870
13,253,351263,0500000US13253,13253,Seminole,6,615215134,49261828
13,277,344090,0500000US13277,13277,Tift,6,675731947,20428670
13,207,343073,0500000US13207,13207,Monroe,6,1025872449,5643844
13,57,1685718,0500000US13057,13057,Cherokee,6,1090599861,34468397
13,85,351312,0500000US13085,13085,Dawson,6,546042248,9272655
13,225,343153,0500000US13225,13225,Peach,6,389188326,2678496
13,167,346664,0500000US13167,13167,Johnson,6,784815229,9256634
13,43,342852,0500000US13043,13043,Candler,6,629520691,15018337
13,89,1687424,0500000US13089,13089,DeKalb,6,693405943,8955544
13,285,1673298,0500000US13285,13285,Troup,6,1072274464,82761542
13,115,353665,0500000US13115,13115,Floyd,6,1320434486,22384089
13,99,345041,0500000US13099,13099,Early,6,1327626600,9702715
13,187,357196,0500000US13187,13187,Lumpkin,6,732816473,3279685
13,223,349912,0500000US13223,13223,Paulding,6,808831878,5309335
16,53,395662,0500000US16053,16053,Jerome,6,1547443958,13094559
17,19,424211,0500000US17019,17019,Champaign,6,2579909092,6099477
17,51,424227,0500000US17051,17051,Fayette,6,1855715976,22931323
17,41,424222,0500000US17041,17041,Douglas,6,1079156581,1448702
17,179,1785094,0500000US17179,17179,Tazewell,6,1674222062,29832978
17,57,424230,0500000US17057,17057,Fulton,6,2242157116,43975590
