zip,city,county,pop
99301,Pasco,Franklin,79819
98052,Redmond,King,70245
98012,Bothell,Snohomish,67427
98682,Vancouver,Clark,60887
98208,Everett,Snohomish,58162
99208,Spokane,Spokane,54917
98115,Seattle,King,54109
98103,Seattle,King,53163
99336,Kennewick,Benton,51980
98225,Bellingham,Whatcom,51697
98632,Longview,Cowlitz,51504
98270,Marysville,Snohomish,51293
98105,Seattle,King,50434
98023,Federal Way,King,50201
98003,Federal Way,King,49533
98387,Spanaway,Pierce,49386
98118,Seattle,King,49181
98133,Seattle,King,48650
98042,Kent,King,48572
98661,Vancouver,Clark,48063
98092,Auburn,King,47824
98902,Yakima,Yakima,46130
98837,Moses Lake,Grant,44136
98223,Arlington,Snohomish,44110
98226,Bellingham,Whatcom,43892
98058,Renton,King,43740
99205,Spokane,Spokane,43617
98034,Kirkland,King,43471
98801,Wenatchee,Chelan,43366
98125,Seattle,King,42981
98501,Olympia,Thurston,42874
98204,Everett,Snohomish,42364
98374,Puyallup,Pierce,41613
99362,Walla Walla,Walla Walla,41515
98036,Lynnwood,Snohomish,40723
98503,Lacey,Thurston,40452
98033,Kirkland,King,39939
98122,Seattle,King,39305
98032,Kent,King,39074
98059,Renton,King,38959
99206,Spokane,Spokane,38792
98277,Oak Harbor,Island,38553
98026,Edmonds,Snohomish,37995
98198,Seattle,King,37966
98006,Bellevue,King,37871
98031,Kent,King,37850
98584,Shelton,Mason,37278
98604,Battle Ground,Clark,37225
98908,Yakima,Yakima,36965
98290,Snohomish,Snohomish,36399
98404,Tacoma,Pierce,36243
98004,Bellevue,King,36202
98203,Everett,Snohomish,36065
98038,Maple Valley,King,35904
98513,Olympia,Thurston,35757
98056,Renton,King,35722
98117,Seattle,King,35645
99163,Pullman,Whitman,35134
98155,Seattle,King,35041
98502,Olympia,Thurston,35018
98366,Port Orchard,Kitsap,34908
98926,Ellensburg,Kittitas,34725
98444,Tacoma,Pierce,34456
98011,Bothell,King,33830
98001,Auburn,King,33699
98002,Auburn,King,33468
98168,Seattle,King,33401
98683,Vancouver,Clark,33219
98258,Lake Stevens,Snohomish,33205
98662,Vancouver,Clark,33152
98144,Seattle,King,32439
99337,Kennewick,Benton,32411
98901,Yakima,Yakima,32358
98607,Camas,Clark,32232
99223,Spokane,Spokane,32213
98445,Tacoma,Pierce,32066
98375,Puyallup,Pierce,31955
99352,Richland,Benton,31918
98499,Lakewood,Pierce,31522
