ZIP5,AFFGEOID10,GEOID10,ALAND10,AWATER10
36083,8600000US36083,36083,659750662,5522919
35441,8600000US35441,35441,172850429,8749105
35051,8600000US35051,35051,280236456,5427285
35121,8600000US35121,35121,372736030,5349303
35058,8600000US35058,35058,178039922,3109259
35619,8600000US35619,35619,337059534,1410483
35016,8600000US35016,35016,192546773,1522014
36115,8600000US36115,36115,1536423,0
36353,8600000US36353,36353,249818378,245714
36728,8600000US36728,36728,234200132,3820726
35229,8600000US35229,35229,444225,2875
99574,8600000US99574,99574,6393750022,766075285
99729,8600000US99729,99729,1542209160,10167890
36027,8600000US36027,36027,748475602,50837268
35470,8600000US35470,35470,688015665,8551401
86544,8600000US86544,86544,638491732,379871
35173,8600000US35173,35173,164396466,2993812
35098,8600000US35098,35098,78289341,1793628
71653,8600000US71653,71653,816740528,90319841
81524,8600000US81524,81524,434248676,3428305
93308,8600000US93308,93308,818436705,1790905
20012,8600000US20012,20012,5863167,67558
83811,8600000US83811,83811,470648914,10534273
04554,8600000US04554,4554,11081438,4133017
60034,8600000US60034,60034,67280214,0
21529,8600000US21529,21529,9382561,85948
02671,8600000US02671,2671,5215108,314669
04019,8600000US04019,4019,2151748,13090674
49854,8600000US49854,49854,1343083926,91919586
56127,8600000US56127,56127,135875499,13708
04766,8600000US04766,4766,94620087,278430
39150,8600000US39150,39150,588395712,28392667
59870,8600000US59870,59870,657253350,3108529
59014,8600000US59014,59014,1068516373,2406380
02461,8600000US02461,2461,3768931,41434
88045,8600000US88045,88045,2898716387,829965
99517,8600000US99517,99517,8484449,319939
99639,8600000US99639,99639,571574153,81222
99768,8600000US99768,99768,12537722119,287410734
85264,8600000US85264,85264,552313940,8052856
86334,8600000US86334,86334,588569479,57670
85501,8600000US85501,85501,1454584071,4146768
85638,8600000US85638,85638,838893524,216342
85726,8600000US85726,85726,122081,0
72756,8600000US72756,72756,360896741,40254452
72950,8600000US72950,72950,349433639,1154865
71846,8600000US71846,71846,559813592,33250480
93592,8600000US93592,93592,388870923,20906732
93060,8600000US93060,93060,307974335,2959287
93960,8600000US93960,93960,528427594,13212990
93235,8600000US93235,93235,7462346,0
93622,8600000US93622,93622,918202049,5458455
90018,8600000US90018,90018,7500311,0
96057,8600000US96057,96057,819170109,643230
93666,8600000US93666,93666,968552,0
94952,8600000US94952,94952,466821663,2998248
94127,8600000US94127,94127,4585722,9359
96034,8600000US96034,96034,286051921,1086892
93620,8600000US93620,93620,452403352,826765
49934,8600000US49934,49934,5722882,1440964
28428,8600000US28428,28428,13323027,6036297
39465,8600000US39465,39465,342162048,3685040
65747,8600000US65747,65747,201599321,42167891
64112,8600000US64112,64112,3819791,0
39144,8600000US39144,39144,297742443,161322
03076,8600000US03076,3076,68175731,1399687
97368,8600000US97368,97368,142957196,3338263
15316,8600000US15316,15316,1022412,729
19137,8600000US19137,19137,6262768,2185728
29440,8600000US29440,29440,1354314571,131844753
69341,8600000US69341,69341,570007829,780883
11550,8600000US11550,11550,11031762,12386
78404,8600000US78404,78404,8046836,0
84753,8600000US84753,84753,911797739,158344
05450,8600000US05450,5450,308144971,2596459
24171,8600000US24171,24171,517167655,1270993
23092,8600000US23092,23092,12706420,5890340
24622,8600000US24622,24622,128018166,21269
44123,8600000US44123,44123,6672614,1111163
98382,8600000US98382,98382,444711311,73303
73505,8600000US73505,73505,143152729,246279
25425,8600000US25425,25425,103825628,3641685
97630,8600000US97630,97630,2110036081,146923976
82225,8600000US82225,82225,3554463012,2985153
35079,8600000US35079,35079,274807161,1199204
08073,8600000US08073,8073,248154,0
87506,8600000US87506,87506,511731385,887352
88301,8600000US88301,88301,2276870715,54954
87558,8600000US87558,87558,328304270,116933
88042,8600000US88042,88042,1403995238,231519
88055,8600000US88055,88055,795269871,71539
10171,8600000US10171,10171,12470,0
10110,8600000US10110,10110,26711,0
12758,8600000US12758,12758,394703826,3686288
10282,8600000US10282,10282,177847,55133
14212,8600000US14212,14212,4933407,0
11956,8600000US11956,11956,3284726,157808
14788,8600000US14788,14788,545003,0
10040,8600000US10040,10040,988493,0
11501,8600000US11501,11501,5308402,0
14035,8600000US14035,14035,591781,0
13617,8600000US13617,13617,330705585,2843088
13316,8600000US13316,13316,420190757,717952
34287,8600000US34287,34287,40413666,2458915
33413,8600000US33413,33413,18620851,1202733
32421,8600000US32421,32421,355433610,2200725
30417,8600000US30417,30417,447105384,10270303
30816,8600000US30816,30816,338603351,2261730
30332,8600000US30332,30332,218051,0
30705,8600000US30705,30705,616769713,5568770
31631,8600000US31631,31631,320192480,4046726
31038,8600000US31038,31038,240352313,668240
30464,8600000US30464,30464,2101919,70462
31018,8600000US31018,31018,236814469,2110941
30428,8600000US30428,30428,385441618,7050136
96777,8600000US96777,96777,451235934,9584422
96746,8600000US96746,96746,132869764,7623876
83553,8600000US83553,83553,276656299,263426
61414,8600000US61414,61414,131238242,0
13102,8600000US13102,13102,150734,2922
27893,8600000US27893,27893,285380818,3107663
27295,8600000US27295,27295,330452858,2657999
28504,8600000US28504,28504,320558940,1672190
28787,8600000US28787,28787,205963628,47337
