Date,24 hr New Snow,Season Snowfall Total,Base Depth
1-Jan-17,3 cm,3 cm,91 cm
2-Jan-17,8 cm,11 cm,94 cm
3-Jan-17,3 cm,14 cm,91 cm
4-Jan-17,3 cm,17 cm,94 cm
5-Jan-17,10 cm,27 cm,99 cm
6-Jan-17,13 cm,40 cm,109 cm
8-Jan-17,3 cm,43 cm,102 cm
9-Jan-17,8 cm,51 cm,104 cm
10-Jan-17,33 cm,84 cm,127 cm
11-Jan-17,8 cm,92 cm,122 cm
12-Jan-17,10 cm,102 cm,122 cm
13-Jan-17,3 cm,105 cm,122 cm
14-Jan-17,15 cm,120 cm,130 cm
15-Jan-17,13 cm,133 cm,137 cm
16-Jan-17,3 cm,136 cm,135 cm
20-Jan-17,10 cm,146 cm,135 cm
21-Jan-17,3 cm,149 cm,135 cm
22-Jan-17,46 cm,195 cm,168 cm
23-Jan-17,10 cm,205 cm,165 cm
24-Jan-17,20 cm,225 cm,165 cm
25-Jan-17,20 cm,245 cm,178 cm
26-Jan-17,5 cm,250 cm,170 cm
7-Feb-17,3 cm,253 cm,140 cm
12-Feb-17,10 cm,263 cm,142 cm
13-Feb-17,8 cm,271 cm,147 cm
14-Feb-17,5 cm,276 cm,147 cm
18-Feb-17,5 cm,281 cm,145 cm
20-Feb-17,8 cm,289 cm,147 cm
23-Feb-17,5 cm,294 cm,147 cm
24-Feb-17,20 cm,314 cm,160 cm
25-Feb-17,10 cm,324 cm,163 cm
26-Feb-17,3 cm,327 cm,160 cm
27-Feb-17,3 cm,330 cm,160 cm
28-Feb-17,36 cm,366 cm,173 cm
1-Mar-17,20 cm,386 cm,196 cm
6-Mar-17,5 cm,391 cm,165 cm
7-Mar-17,8 cm,399 cm,175 cm
24-Mar-17,48 cm,447 cm,196 cm
25-Mar-17,3 cm,450 cm,190 cm
26-Mar-17,30 cm,480 cm,211 cm
28-Mar-17,18 cm,498 cm,213 cm
29-Mar-17,15 cm,513 cm,218 cm
31-Mar-17,5 cm,518 cm,211 cm
1-Apr-17,13 cm,531 cm,216 cm
5-Jan-16,3 cm,3 cm,119 cm
6-Jan-16,3 cm,6 cm,124 cm
7-Jan-16,8 cm,14 cm,127 cm
9-Jan-16,10 cm,24 cm,132 cm
15-Jan-16,5 cm,29 cm,122 cm
16-Jan-16,36 cm,65 cm,150 cm
17-Jan-16,13 cm,78 cm,147 cm
18-Jan-16,3 cm,81 cm,147 cm
19-Jan-16,8 cm,89 cm,152 cm
20-Jan-16,10 cm,99 cm,152 cm
21-Jan-16,10 cm,109 cm,160 cm
25-Jan-16,33 cm,142 cm,173 cm
26-Jan-16,3 cm,145 cm,168 cm
31-Jan-16,10 cm,155 cm,155 cm
1-Feb-16,48 cm,203 cm,183 cm
2-Feb-16,18 cm,221 cm,190 cm
3-Feb-16,3 cm,224 cm,185 cm
5-Feb-16,3 cm,227 cm,178 cm
23-Feb-16,13 cm,240 cm,155 cm
24-Feb-16,3 cm,243 cm,155 cm
7-Mar-16,10 cm,253 cm,152 cm
13-Mar-16,5 cm,258 cm,147 cm
15-Mar-16,8 cm,266 cm,152 cm
16-Mar-16,5 cm,271 cm,152 cm
23-Mar-16,25 cm,296 cm,168 cm
24-Mar-16,30 cm,326 cm,188 cm
26-Mar-16,8 cm,334 cm,180 cm
27-Mar-16,5 cm,339 cm,183 cm
29-Mar-16,3 cm,342 cm,175 cm
30-Mar-16,15 cm,357 cm,185 cm
1-Apr-16,3 cm,360 cm,183 cm
27-Nov-16,20 cm,380 cm,36 cm
28-Nov-16,25 cm,405 cm,58 cm
29-Nov-16,23 cm,428 cm,71 cm
3-Dec-16,5 cm,433 cm,53 cm
7-Dec-16,8 cm,441 cm,51 cm
9-Dec-16,3 cm,444 cm,48 cm
11-Dec-16,8 cm,452 cm,51 cm
12-Dec-16,3 cm,455 cm,53 cm
